code,name,google_record_name,address,lat,lon,google_place_id,record_type,year,rank,list_type,proximity_check,cuisine,certainty
rest_1392,Meet the Bund,M on the Bund,"20 Guang Dong Lu, Waitan, Huang Pu Qu, Shang Hai Shi, China, 200002",31.2344527,121.4905596,ChIJqYnfC-xbAjQR19ox5ZG4dkk,"establishment,food,point_of_interest,restaurant",2025,94,extended_51_100,clean,TBD - phase 2,confirmed
rest_1393,Evvai,Evvai Restaurant,"R. Joaquim Antunes, 108 - Pinheiros, São Paulo - SP, 05415-000, Brazil",-23.567081,-46.6790581,ChIJ15xqwHlXzpQR-wSlgx8ckJM,"establishment,food,point_of_interest,restaurant",2025,95,extended_51_100,clean,TBD - phase 2,confirmed
rest_1394,Labyrinth,Restaurant Labyrinth,"8 Raffles Ave., #02 - 23, Singapore 039802",1.2897489,103.8562976,ChIJj99Fo3IZ2jERFIUg_m-VhO8,"establishment,food,point_of_interest,restaurant",2025,97,extended_51_100,clean,TBD - phase 2,confirmed
rest_1395,Amisfield Restaurant,Amisfield Restaurant & Cellar Door,"10 Arrowtown-Lake Hayes Road Lake Hayes, 10 Arrowtown-Lake Hayes Road, Queenstown 9371, New Zealand",-44.9865689,168.8158838,ChIJQw4OaFgf1akRsNbxrHgfmpU,"establishment,food,liquor_store,point_of_interest,restaurant,store,tourist_attraction",2025,99,extended_51_100,clean,TBD - phase 2,confirmed
