id,hotel_code,name,michelin_keys,city,country,country_flag,address,latitude,longitude,google_place_id,michelin_url,website_url,booking_url,google_maps_url,worlds_50_best_rank,worlds_50_best_year
,hotel_330,Byblos Art Hotel Villa Amistà,1,San Pietro in Cariano,Italy,🇮🇹,"Via Cedrare 78, 37029 Corrubbio VR",45.489717,10.89906,ChIJodfLgYfjgUcRx1VKFFJXWLM,,,,https://www.google.com/maps/place/?q=place_id:ChIJodfLgYfjgUcRx1VKFFJXWLM,,
,hotel_331,Hotel Lungarno,1,Florence,Italy,🇮🇹,"Borgo San Jacopo 14, 50125 Firenze FI",43.767967,11.251556,ChIJez8bNVVRKhMR6QTW0w89UGo,,,,https://www.google.com/maps/place/?q=place_id:ChIJez8bNVVRKhMR6QTW0w89UGo,,
,hotel_332,Therasia Resort Sea & Spa,2,Vulcano,Italy,🇮🇹,"Isola di Vulcano, 98050 Vulcanello ME",38.430342,14.95647,ChIJy24F2rZ-FhMR_0Z8ZJWasnM,,,,https://www.google.com/maps/place/?q=place_id:ChIJy24F2rZ-FhMR_0Z8ZJWasnM,,
,hotel_333,Botania Relais & Spa,1,Island of Ischia,Italy,🇮🇹,"Via Provinciale Lacco-Fango 284, 80075 Forio NA",40.752763,13.879741,ChIJE4NQgmtAOxMRP_zzdP4h27w,,,,https://www.google.com/maps/place/?q=place_id:ChIJE4NQgmtAOxMRP_zzdP4h27w,,
,hotel_334,Grand Hotel Principe di Piemonte,2,Viareggio,Italy,🇮🇹,"Piazza Giacomo Puccini 1, 55049 Viareggio LU",43.881411,10.235524,ChIJu7yTOZWh1RIR5uGBET68O5c,,,,https://www.google.com/maps/place/?q=place_id:ChIJu7yTOZWh1RIR5uGBET68O5c,,
,hotel_335,La Foresteria Planeta Estate,1,Menfi,Italy,🇮🇹,"Contrada Passo di Gurra, SP79 Km 91, 92013 AG",37.600335,12.921953,ChIJ53w8bh9IGhMRBbBsr5KFPcs,,,,https://www.google.com/maps/place/?q=place_id:ChIJ53w8bh9IGhMRBbBsr5KFPcs,,
,hotel_336,Hassler Roma,2,Rome,Italy,🇮🇹,"Piazza della Trinità dei Monti 6, 00187 Roma RM",41.906038,12.4838,ChIJW6tyLVVgLxMRZWOURk7ZVIo,,,,https://www.google.com/maps/place/?q=place_id:ChIJW6tyLVVgLxMRZWOURk7ZVIo,,
,hotel_337,Goldene Rose Karthaus,1,Schnals,Italy,🇮🇹,"Località Certosa 29, 39020 Senales BZ",46.70551,10.909791,ChIJAYJVA5HEgkcRMXMxbjmm8BE,,,,https://www.google.com/maps/place/?q=place_id:ChIJAYJVA5HEgkcRMXMxbjmm8BE,,
,hotel_338,Reschio Hotel,3,Lisciano Niccone,Italy,🇮🇹,"Tabaccaia di Reschio, 06060 Lisciano Niccone PG",43.275894,12.198982,ChIJwcW165IGLBMRPwoOLasPHsc,,,,https://www.google.com/maps/place/?q=place_id:ChIJwcW165IGLBMRPwoOLasPHsc,,
,hotel_339,Riva Lofts Florence,1,Florence,Italy,🇮🇹,"Via Baccio Bandinelli 98, 50142 Firenze FI",43.776576,11.22555,ChIJTYG7P8lWKhMRPW8qmFu8B4M,,,,https://www.google.com/maps/place/?q=place_id:ChIJTYG7P8lWKhMRPW8qmFu8B4M,,
